studentId,courseCode,enrollmentDate,status,grade,gradePoints,attendancePercent
00000000-0000-0000-0000-000000000201,CS101,2026-01-10,Completed,A,10,95
00000000-0000-0000-0000-000000000201,CS102,2026-01-10,Enrolled,,0,88
00000000-0000-0000-0000-000000000202,CS101,2026-01-10,Completed,A,10,96
00000000-0000-0000-0000-000000000202,CS102,2026-01-10,Enrolled,,0,91
00000000-0000-0000-0000-000000000203,IT101,2026-01-10,Completed,B,8,89
00000000-0000-0000-0000-000000000203,IT201,2026-01-10,Enrolled,,0,85
00000000-0000-0000-0000-000000000204,IT101,2026-01-10,Completed,A,10,94
00000000-0000-0000-0000-000000000204,IT201,2026-01-10,Enrolled,,0,90
00000000-0000-0000-0000-000000000205,EC101,2026-01-10,Completed,B,8,86
00000000-0000-0000-0000-000000000205,EC201,2026-01-10,Enrolled,,0,82
00000000-0000-0000-0000-000000000206,EC101,2026-01-10,Completed,A,10,93
00000000-0000-0000-0000-000000000206,EC201,2026-01-10,Enrolled,,0,89
