ID,productName,stock,price,category,supplier,description,status,createdAt,createdBy,modifiedAt,modifiedBy
68009487-9034-4049-9779-a084c123e257,productName-6800948,63,19250353.77,category-6800948,supplier-6800948,description-6800948,status-6800948,2005-08-18T00:00:00.000Z,createdBy.41rn8@example.net,2000-10-14T00:00:00.000Z,modifiedBy.41rn8@example.com
6800949f-3d03-4b0f-899c-3894c41cb60a,productName-6800949,93,51621009.3,category-6800949,supplier-6800949,description-6800949,status-6800949,2023-07-23T00:00:00.000Z,createdBy.41rn9@example.com,2021-03-01T00:00:00.000Z,modifiedBy.41rn9@example.com
68009507-d545-457e-b2da-fdd0b54095ae,productName-6800950,5,54373976.67,category-6800950,supplier-6800950,description-6800950,status-6800950,2014-10-23T00:00:00.000Z,createdBy.41rna@example.net,2022-10-07T00:00:00.000Z,modifiedBy.41rna@example.org
68009516-adc9-4328-b06e-8496689379fa,productName-6800951,10,20880936.81,category-6800951,supplier-6800951,description-6800951,status-6800951,2013-08-04T00:00:00.000Z,createdBy.41rnb@example.org,2018-06-29T00:00:00.000Z,modifiedBy.41rnb@example.net
68009523-f2a0-4ab2-a8c6-74b0d22484c5,productName-6800952,43,89010753.27,category-6800952,supplier-6800952,description-6800952,status-6800952,2000-02-09T00:00:00.000Z,createdBy.41rnc@example.org,2005-05-23T00:00:00.000Z,modifiedBy.41rnc@example.com
6800953e-fea8-486e-8103-1fccef489b20,productName-6800953,65,16574612.45,category-6800953,supplier-6800953,description-6800953,status-6800953,2007-02-27T00:00:00.000Z,createdBy.41rnd@example.net,2004-01-28T00:00:00.000Z,modifiedBy.41rnd@example.org
68009547-7556-4982-9a0d-8b556691edd2,productName-6800954,21,56928051.74,category-6800954,supplier-6800954,description-6800954,status-6800954,2000-05-13T00:00:00.000Z,createdBy.41rne@example.com,2020-11-06T00:00:00.000Z,modifiedBy.41rne@example.net
68009558-3ff9-40bf-9918-2c3763d41af6,productName-6800955,19,17165481.15,category-6800955,supplier-6800955,description-6800955,status-6800955,2004-01-02T00:00:00.000Z,createdBy.41rnf@example.org,2010-06-17T00:00:00.000Z,modifiedBy.41rnf@example.com
6800956d-fdf8-46b9-9f23-d762c3f1f572,productName-6800956,49,91393372.63,category-6800956,supplier-6800956,description-6800956,status-6800956,2019-05-04T00:00:00.000Z,createdBy.41rng@example.net,2015-11-03T00:00:00.000Z,modifiedBy.41rng@example.com
68009572-2538-4e59-954b-dd1686d8b9ff,productName-6800957,7,70383834.77,category-6800957,supplier-6800957,description-6800957,status-6800957,2014-04-07T00:00:00.000Z,createdBy.41rnh@example.com,2003-01-08T00:00:00.000Z,modifiedBy.41rnh@example.org
