code,locale,name,descr
204,es,name-12936693,descr-12936693
204,sv,name-12936694,descr-12936694
010,tr,name-3710297,descr-3710297
010,de,name-3710298,descr-3710298
011,en,name-29672856,descr-29672856
011,es,name-29672857,descr-29672857
012,sv,name-8848390,descr-8848390
012,en,name-8848391,descr-8848391
013,th,name-22751897,descr-22751897
013,zh,name-22751898,descr-22751898
014,nl,name-11683734,descr-11683734
014,th,name-11683735,descr-11683735
015,fi,name-5677918,descr-5677918
015,nl,name-5677919,descr-5677919
016,zh,name-31333085,descr-31333085
016,ja,name-31333086,descr-31333086
017,ms,name-22672307,descr-22672307
017,ru,name-22672308,descr-22672308
018,th,name-16994111,descr-16994111
018,es,name-16994112,descr-16994112
